City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Havelock,US,76.98,clear sky,34.8791,-76.9013,Sherwood Motel
444,Van Buren,US,71.83,moderate rain,35.4368,-94.3483,Hampton Inn Van Buren
446,Marquette,US,72.84,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
447,Hobyo,SO,79.25,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
448,Tessalit,ML,89.91,overcast clouds,20.1986,1.0114,
454,La Palma,US,77.9,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
455,Artesia,US,77.4,clear sky,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
459,Dingle,PH,82.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
460,Piura,PE,74.62,clear sky,-5.2,-80.6333,Hotel El Sol
461,Sibolga,ID,77.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
462,Safford,US,85.12,few clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
464,Nargana,PA,81.48,overcast clouds,9.4428,-78.5906,Dubbir
465,Wukari,NG,78.94,clear sky,7.85,9.7833,Elimtop
466,Paoua,CF,69.31,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
467,Segou,ML,92.97,broken clouds,13.4317,-6.2157,Comme chez soi
469,Itaiba,BR,69.93,scattered clouds,-8.9475,-37.4228,Orlando Lux Hotel
477,Waconia,US,81.09,broken clouds,44.8508,-93.7869,AmeriVu Inn and Suites - Waconia
478,Awjilah,LY,71.53,clear sky,29.1081,21.2869,
479,Nabire,ID,82.0,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
480,Abnub,EG,76.08,clear sky,27.2696,31.1511,Romany Adly Gad
481,Smidovich,RU,73.0,few clouds,48.6,133.8167,Gostinnitsa
482,Shelburne,CA,82.89,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
483,Pacific Grove,US,72.01,broken clouds,36.6177,-121.9166,Lovers Point Inn
484,Aguimes,ES,72.23,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
485,Corn Island,NI,82.78,broken clouds,12.1694,-83.0418,Big Fish Guest House
486,Senneterre,CA,82.62,overcast clouds,48.3835,-77.2328,Motel Senabi
488,Mamallapuram,IN,81.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
491,Pompeia,BR,71.35,scattered clouds,-22.1086,-50.1717,Hotel Pousada Vale do Sol
496,Sorong,ID,78.66,overcast clouds,-0.8833,131.25,waigo splash hotel
499,Sambava,MG,69.55,few clouds,-14.2667,50.1667,Melrose
501,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
503,Fare,PF,81.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
505,Emerald,AU,66.34,scattered clouds,-23.5333,148.1667,The Irish Village
506,Laibin,CN,81.12,broken clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
512,Bandarbeyla,SO,80.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
513,Oussouye,SN,75.29,scattered clouds,12.485,-16.5469,Auberge du Routard
514,Amberley,US,82.9,clear sky,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
518,Poum,NC,74.75,scattered clouds,-20.2333,164.0167,Gîte kajeon
519,Nova Vicosa,BR,75.4,clear sky,-17.8919,-39.3719,Pousada Porto do Sol
520,Labrea,BR,76.39,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
524,Atambua,ID,77.11,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
526,Noumea,NC,77.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
