,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Barabai,ID,-2.5833,115.3833,75.69,89,93,1.19,overcast clouds
157,Rochelle,FR,46.25,-1.0,57.52,74,75,12.71,broken clouds
158,Auki,SB,-8.7676,160.7034,77.16,90,39,4.54,scattered clouds
159,Trelew,AR,-43.249,-65.3051,56.01,73,100,3.87,overcast clouds
160,Baruun-Urt,MN,46.6806,113.2792,38.68,73,100,26.75,overcast clouds
161,Alofi,NU,-19.0595,-169.9187,76.89,94,74,6.91,light rain
162,Olafsvik,IS,64.8945,-23.7142,42.8,62,26,10.71,scattered clouds
163,Amapa,BR,1.0,-52.0,87.89,57,80,3.78,broken clouds
164,New Norfolk,AU,-42.7826,147.0587,53.92,66,100,0.74,overcast clouds
165,Pangnirtung,CA,66.1451,-65.7125,24.8,54,75,17.27,light snow
166,Vardo,NO,70.3705,31.1107,34.54,62,100,25.19,light rain
167,Pitimbu,BR,-7.4706,-34.8086,84.79,71,0,12.03,clear sky
168,Faya,SA,18.3851,42.4509,69.91,54,0,5.1,clear sky
169,Lavrentiya,RU,65.5833,-171.0,29.52,84,13,3.51,few clouds
170,Shahapur,IN,19.45,73.3333,85.48,74,11,1.57,few clouds
171,Aksu,CN,41.1231,80.2644,67.42,27,44,4.72,scattered clouds
172,Plettenberg Bay,ZA,-34.0527,23.3716,54.55,69,15,4.63,few clouds
173,Montrose,US,38.4166,-108.2673,69.21,30,53,24.65,broken clouds
174,Porto Novo,BJ,6.4965,2.6036,80.42,77,96,12.64,overcast clouds
175,Hofn,IS,64.2539,-15.2082,43.47,64,99,17.98,overcast clouds
176,Coahuayana,MX,18.7333,-103.6833,94.48,32,0,7.43,clear sky
177,Mahebourg,MU,-20.4081,57.7,71.89,78,75,8.05,broken clouds
178,Airai,TL,-8.9266,125.4092,56.3,76,36,1.81,scattered clouds
179,Sangar,RU,63.9242,127.4739,33.55,71,4,6.24,clear sky
180,Mae Hong Son,TH,19.3003,97.9685,76.95,86,69,2.71,broken clouds
181,Kommunisticheskiy,RU,61.6789,64.4819,60.46,83,100,9.8,overcast clouds
182,Metsavan,AM,41.2016,44.2288,56.64,84,100,6.49,overcast clouds
183,Kaitangata,NZ,-46.2817,169.8464,43.93,84,0,4.72,clear sky
184,Ewa Beach,US,21.3156,-158.0072,78.75,59,1,8.05,clear sky
185,Makakilo City,US,21.3469,-158.0858,77.32,61,1,8.05,clear sky
